Date-ordinal,social,justice,rights,Date
736645,0,0,6,2017-11-12
736646,1,1,8,2017-11-13
736647,0,0,16,2017-11-14
736648,1,0,5,2017-11-15
736649,0,0,9,2017-11-16
736650,0,0,0,2017-11-17
736653,0,0,2,2017-11-20
736654,2,0,4,2017-11-21
736655,0,0,0,2017-11-22
736657,0,0,5,2017-11-24
736660,0,0,0,2017-11-27
736661,0,0,0,2017-11-28
736666,0,0,1,2017-12-03
736667,0,0,0,2017-12-04
736669,0,0,1,2017-12-06
736681,6,0,6,2017-12-18
736682,3,0,4,2017-12-19
736683,0,0,1,2017-12-20
736684,3,0,4,2017-12-21
736685,3,0,4,2017-12-22
736699,0,0,2,2018-01-05
736702,1,0,1,2018-01-08
736703,0,0,0,2018-01-09
736704,0,0,1,2018-01-10
736705,0,0,0,2018-01-11
736706,1,0,0,2018-01-12
736709,9,0,5,2018-01-15
736710,3,0,8,2018-01-16
736711,0,0,4,2018-01-17
736712,0,0,1,2018-01-18
736717,9,0,15,2018-01-23
736718,1,0,32,2018-01-24
736724,1,0,11,2018-01-30
736725,1,0,5,2018-01-31
736726,1,0,1,2018-02-01
736730,3,0,1,2018-02-05
736731,1,0,8,2018-02-06
736732,3,0,9,2018-02-07
736733,0,0,0,2018-02-08
736734,0,0,0,2018-02-09
736737,0,0,0,2018-02-12
736738,0,0,1,2018-02-13
736739,3,0,31,2018-02-14
736740,0,0,8,2018-02-15
736741,1,0,2,2018-02-16
736744,0,0,1,2018-02-19
736745,0,0,0,2018-02-20
736746,0,0,0,2018-02-21
736747,0,0,0,2018-02-22
736748,0,0,4,2018-02-23
736752,0,0,1,2018-02-27
736755,0,0,10,2018-03-02
736756,0,0,0,2018-03-03
736758,0,0,0,2018-03-05
736759,0,0,0,2018-03-06
736760,0,0,0,2018-03-07
736762,0,0,1,2018-03-09
736765,0,0,0,2018-03-12
736766,3,0,17,2018-03-13
736767,0,0,0,2018-03-14
736769,3,0,8,2018-03-16
736770,0,0,10,2018-03-17
736772,0,0,3,2018-03-19
736773,0,0,17,2018-03-20
736774,0,0,4,2018-03-21
736775,1,0,0,2018-03-22
736778,0,0,0,2018-03-25
736779,0,4,4,2018-03-26
736780,0,0,0,2018-03-27
736781,0,0,2,2018-03-28
736786,0,0,0,2018-04-02
736788,1,0,4,2018-04-04
736800,0,0,3,2018-04-16
736801,0,0,2,2018-04-17
736807,0,0,1,2018-04-23
736808,0,0,2,2018-04-24
736811,0,0,2,2018-04-27
736816,0,0,0,2018-05-02
736829,0,0,1,2018-05-15
736842,0,0,0,2018-05-28
736843,0,0,2,2018-05-29
736845,0,0,0,2018-05-31
736855,0,0,14,2018-06-10
736856,0,0,61,2018-06-11
736858,6,0,26,2018-06-13
736860,1,0,4,2018-06-15
736861,0,0,0,2018-06-16
736863,0,0,6,2018-06-18
736865,0,0,0,2018-06-20
736869,2,0,6,2018-06-24
736874,0,0,1,2018-06-29
736878,0,0,1,2018-07-03
736880,2,2,4,2018-07-05
736881,1,1,1,2018-07-06
736884,0,0,0,2018-07-09
736885,6,0,15,2018-07-10
736886,18,0,58,2018-07-11
736887,0,0,40,2018-07-12
736888,0,0,37,2018-07-13
736889,0,1,44,2018-07-14
736890,0,0,5,2018-07-15
736891,0,3,5,2018-07-16
736892,0,3,2,2018-07-17
736893,5,1,8,2018-07-18
736894,1,0,19,2018-07-19
736895,3,1,57,2018-07-20
736896,0,0,5,2018-07-21
736898,2,0,41,2018-07-23
736900,0,0,0,2018-07-25
736902,3,0,24,2018-07-27
736903,0,0,2,2018-07-28
736921,0,0,3,2018-08-15
736922,0,0,0,2018-08-16
736924,1,0,8,2018-08-18
736925,0,0,16,2018-08-19
736926,0,0,37,2018-08-20
736927,0,0,3,2018-08-21
736928,0,0,2,2018-08-22
736929,3,0,3,2018-08-23
736930,0,0,49,2018-08-24
736931,34,0,9,2018-08-25
736932,0,0,1,2018-08-26
736933,15,0,8,2018-08-27
736934,8,0,133,2018-08-28
736935,0,0,1,2018-08-29
736936,0,0,3,2018-08-30
736937,0,0,0,2018-08-31
736939,0,0,0,2018-09-02
736941,0,0,0,2018-09-04
736942,0,0,12,2018-09-05
736944,0,0,19,2018-09-07
736951,9,0,27,2018-09-14
736952,10,1,6,2018-09-15
736953,0,0,1,2018-09-16
736955,5,1,49,2018-09-18
736956,0,4,32,2018-09-19
736957,5,0,15,2018-09-20
736958,4,0,21,2018-09-21
736959,4,0,12,2018-09-22
736960,0,0,6,2018-09-23
736970,1,0,32,2018-10-03
736971,3,0,26,2018-10-04
736972,2,0,7,2018-10-05
736973,0,0,1,2018-10-06
736975,0,0,15,2018-10-08
736985,1,0,8,2018-10-18
736986,0,0,1,2018-10-19
736987,1,0,16,2018-10-20
736988,4,0,14,2018-10-21
736989,10,0,87,2018-10-22
736990,0,0,7,2018-10-23
736991,0,0,0,2018-10-24
736992,0,0,0,2018-10-25
736993,1,0,2,2018-10-26
736994,0,0,0,2018-10-27
736995,0,0,1,2018-10-28
736996,0,0,6,2018-10-29
736997,0,0,0,2018-10-30
736999,0,0,1,2018-11-01
737001,0,0,0,2018-11-03
737002,0,0,3,2018-11-04
737003,0,0,3,2018-11-05
737004,0,0,1,2018-11-06
737006,0,0,17,2018-11-08
737010,2,0,0,2018-11-12
737012,0,0,0,2018-11-14
737013,0,0,22,2018-11-15
737014,0,0,29,2018-11-16
737015,0,0,0,2018-11-17
737016,0,0,1,2018-11-18
737017,1,0,0,2018-11-19
737018,3,0,10,2018-11-20
737019,0,0,2,2018-11-21
737024,0,0,4,2018-11-26
737025,0,0,18,2018-11-27
737034,0,0,1,2018-12-06
737045,1,0,4,2018-12-17
737048,0,0,10,2018-12-20
737082,4,0,0,2019-01-23
737083,0,0,1,2019-01-24
737085,0,0,4,2019-01-26
